"gc-1","gc-2","gc-3","gc-4","gc-5","gc-6","likelihood","chimera","dataset"
1,1,3,4,8,8,0.917170564100891,3798.96524803704,"Lmono-454-LGC-1"
1,1,3,5,5,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,5,5,6,0.0244784914665601,9898.26559632088,"Lmono-454-LGC-1"
1,1,3,5,5,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,5,5,8,0.999933893038648,9936.64900841716,"Lmono-454-LGC-1"
1,1,3,5,6,6,0.0238645238514288,6343.18309091331,"Lmono-454-LGC-1"
1,1,3,5,6,7,0.999933893038648,9936.64900841716,"Lmono-454-LGC-1"
1,1,3,5,6,8,0.999933893038648,6390.64255615066,"Lmono-454-LGC-1"
1,1,3,5,7,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,5,7,8,0.916677055909872,9698.90015483724,"Lmono-454-LGC-1"
1,1,3,5,8,8,0.999945722488733,6152.89370257074,"Lmono-454-LGC-1"
1,1,3,6,6,6,0.0228073153462067,4392.06280215917,"Lmono-454-LGC-1"
1,1,3,6,6,7,0.999933893038648,6390.64255615066,"Lmono-454-LGC-1"
1,1,3,6,6,8,0.999933893038648,4456.06940456,"Lmono-454-LGC-1"
1,1,3,6,7,7,0.916677055909872,9698.90015483724,"Lmono-454-LGC-1"
1,1,3,6,7,8,0.999945722488733,6152.89370257074,"Lmono-454-LGC-1"
1,1,3,6,8,8,0.916676925797671,4218.32055098008,"Lmono-454-LGC-1"
1,1,3,7,7,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,7,7,8,0.917026089311016,10202.1243785716,"Lmono-454-LGC-1"
1,1,3,7,8,8,0.914780748830927,6656.11792630513,"Lmono-454-LGC-1"
1,1,3,8,8,8,0.916985467225253,4721.54477471446,"Lmono-454-LGC-1"
1,1,4,4,4,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,4,4,4,5,0.0268453418239155,2382.12595681593,"Lmono-454-LGC-1"
1,1,4,4,4,6,0.022540776859563,1156.28085032089,"Lmono-454-LGC-1"
1,1,4,4,4,7,0.917684335209865,3568.02130351826,"Lmono-454-LGC-1"
1,1,4,4,4,8,0.93366417182138,2374.42122924189,"Lmono-454-LGC-1"
1,1,4,4,5,5,0.0176031527745722,4548.34604891677,"Lmono-454-LGC-1"
1,1,4,4,5,6,0.0187030681800848,2656.45762980574,"Lmono-454-LGC-1"
1,1,4,4,5,7,0.999933893038648,5230.31417589331,"Lmono-454-LGC-1"
1,1,4,4,5,8,0.999933893038648,3295.74102430265,"Lmono-454-LGC-1"
1,1,4,4,6,6,0.0206154361062994,1488.17920584272,"Lmono-454-LGC-1"
1,1,4,4,6,7,0.999933893038648,3295.74102430265,"Lmono-454-LGC-1"
1,1,4,4,6,8,0.999933893038648,2102.14095002628,"Lmono-454-LGC-1"
1,1,4,4,7,7,0.917872289813408,5733.5383996277,"Lmono-454-LGC-1"
1,1,4,4,7,8,0.917170564100891,3798.96524803704,"Lmono-454-LGC-1"
1,1,4,4,8,8,0.915864099377227,2605.36517376067,"Lmono-454-LGC-1"
1,1,4,5,5,5,0.0104633142907998,8966.18896990435,"Lmono-454-LGC-1"
1,1,4,5,5,6,0.0109600720273263,5912.55725408409,"Lmono-454-LGC-1"
1,1,4,5,5,7,0.999933893038648,9936.64900841716,"Lmono-454-LGC-1"
1,1,4,5,5,8,0.999933893038648,6390.64255615066,"Lmono-454-LGC-1"
1,1,4,5,6,6,0.0142893261322887,4218.41227766217,"Lmono-454-LGC-1"
1,1,4,5,6,7,0.999933893038648,6390.64255615066,"Lmono-454-LGC-1"
1,1,4,5,6,8,0.999933893038648,4456.06940456,"Lmono-454-LGC-1"
1,1,4,5,7,7,0.916677055909872,9698.90015483724,"Lmono-454-LGC-1"
1,1,4,5,7,8,0.999945722488733,6152.89370257074,"Lmono-454-LGC-1"
1,1,4,5,8,8,0.916676925797671,4218.32055098008,"Lmono-454-LGC-1"
1,1,4,6,6,6,0.0177292013746963,3117.41341374939,"Lmono-454-LGC-1"
1,1,4,6,6,7,0.999933893038648,4456.06940456,"Lmono-454-LGC-1"
1,1,4,6,6,8,0.999933893038648,3262.46933028363,"Lmono-454-LGC-1"
1,1,4,6,7,7,0.999945722488733,6152.89370257074,"Lmono-454-LGC-1"
1,1,4,6,7,8,0.916676925797671,4218.32055098008,"Lmono-454-LGC-1"
1,1,4,6,8,8,0.916554195656461,3024.72047670371,"Lmono-454-LGC-1"
1,1,4,7,7,7,0.917026089311016,10202.1243785716,"Lmono-454-LGC-1"
1,1,4,7,7,8,0.914780748830927,6656.11792630513,"Lmono-454-LGC-1"
1,1,4,7,8,8,0.916985467225253,4721.54477471446,"Lmono-454-LGC-1"
1,1,4,8,8,8,0.917019946427379,3527.94470043809,"Lmono-454-LGC-1"
1,1,5,5,5,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,5,5,5,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,5,5,5,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,5,5,5,8,0.917697070910467,12903.1283530475,"Lmono-454-LGC-1"
1,1,5,5,6,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,5,5,6,7,0.917697070910467,12903.1283530475,"Lmono-454-LGC-1"
1,1,5,5,6,8,0.93518196665936,9357.12190078096,"Lmono-454-LGC-1"
1,1,5,5,7,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,5,5,7,8,0.934695860492138,11600.2016124089,"Lmono-454-LGC-1"
1,1,5,5,8,8,0.916394740882859,8054.19516014242,"Lmono-454-LGC-1"
1,1,5,6,6,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,5,6,6,7,0.93518196665936,9357.12190078096,"Lmono-454-LGC-1"
1,1,5,6,6,8,0.91767714235995,7422.5487491903,"Lmono-454-LGC-1"
1,1,5,6,7,7,0.934695860492138,11600.2016124089,"Lmono-454-LGC-1"
1,1,5,6,7,8,0.916394740882859,8054.19516014242,"Lmono-454-LGC-1"
